,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time
148,Patrick Cote\cotepa01,26,EDM,LW,6,0,0,0,-2,18,-0.1,0,0,0,0,0,0,0,0,,19,3:07
149,Sylvain Cote\cotesy01,35,WSH,D,68,7,11,18,-3,18,3.7,5,1,1,1,5,6,0,86,8.1,1210,17:47
150,Jeff Cowan\cowanje01,24,CGY,LW,51,9,4,13,-8,74,1.2,7,2,0,1,3,1,0,48,18.8,465,9:06
151,Cory Cross\crossco01,30,TOR,D,41,3,5,8,7,50,2.4,2,1,0,1,5,0,0,34,8.8,738,18:00
152,Mike Crowley\crowlmi01,25,MDA,D,39,1,10,11,-16,20,1.0,1,0,0,1,8,2,0,45,2.2,677,17:21
153,Greg Crozier\crozigr01,24,PIT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,4,4:10
154,David Cullen\culleda01,24,PHX,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,25,12:25
155,Matt Cullen\cullema01,24,MDA,C,82,10,30,40,-23,38,2.1,6,4,0,1,19,11,0,159,6.3,1496,18:15
156,Jassen Cullimore\cullija01,28,TBL,D,74,1,6,7,-6,80,2.0,1,0,0,0,5,1,0,56,1.8,1458,19:43
157,Jim Cummins\cummiji01,30,MDA,RW,79,5,6,11,-11,167,0.4,5,0,0,1,6,0,0,45,11.1,572,7:14
158,Jakub Cutta\cuttaja01,19,WSH,D,3,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,35,11:33
159,Mariusz Czerkawski\czerkma01,28,NYI,RW,82,30,32,62,-24,48,6.2,19,10,1,0,20,11,1,287,10.5,1536,18:44
160,Andreas Dackell\dackean01,28,OTT,RW,81,13,18,31,7,24,2.7,12,1,0,3,17,0,1,72,18.1,1136,14:02
161,Pierre Dagenais\dagenpi01,22,NJD,RW,9,3,2,5,1,6,0.6,2,1,0,1,1,1,0,20,15.0,111,12:22
162,Kevin Dahl\dahlke01,32,CBJ,D,4,0,0,0,1,2,0.1,0,0,0,0,0,0,0,3,0.0,42,10:34
163,Ulf Dahlen\dahleul01,34,WSH,RW,73,15,33,48,11,6,5.1,9,6,0,2,27,6,0,145,10.3,1081,14:48
164,J.J. Daigneault\daignjj01,35,MIN,D,1,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,12,11:38
165,Vincent Damphousse\damphvi01,33,SJS,C,45,9,37,46,17,62,4.8,5,4,0,3,22,13,2,101,8.9,937,20:49
166,Mathieu Dandenault\dandema01,24,DET,D,73,10,15,25,11,38,5.8,8,2,0,2,13,2,0,95,10.5,1175,16:06
167,Ken Daneyko\daneyke01,36,NJD,D,77,0,4,4,8,87,1.6,0,0,0,0,4,0,0,50,0.0,1330,17:17
168,Jeff Daniels\danieje01,32,CAR,RW,67,1,1,2,-3,15,-0.5,1,0,0,0,1,0,0,42,2.4,502,7:30
169,Mike Danton\dantomi01,20,NJD,C,2,0,0,0,0,6,0.0,0,0,0,0,0,0,0,3,0.0,16,7:52
170,Craig Darby\darbycr01,28,MTL,C,78,12,16,28,-17,16,1.6,11,0,1,0,13,3,0,97,12.4,1239,15:53
171,Mathieu Darche\darchma01,24,CBJ,LW,9,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,9,0.0,91,10:07
172,Matt Davidson\davidma01,23,CBJ,RW,5,0,0,0,2,0,0.0,0,0,0,0,0,0,0,2,0.0,36,7:14
173,Eric Daze\dazeer01,25,CHI,LW,79,33,24,57,1,16,7.2,23,9,1,8,18,3,3,205,16.1,1402,17:45
174,Greg de Vries\devrigr01,28,COL,D,79,5,12,17,23,51,5.0,5,0,0,0,11,0,1,76,6.6,1351,17:06
175,Adam Deadmarsh\deadmad01,25,TOT,RW,57,17,15,32,1,63,3.2,10,7,0,2,8,7,0,126,13.5,1026,18:00
175,Adam Deadmarsh\deadmad01,25,COL,RW,39,13,13,26,-2,59,2.7,6,7,0,2,7,6,0,86,15.1,687,17:38
175,Adam Deadmarsh\deadmad01,25,LAK,RW,18,4,2,6,3,4,0.5,4,0,0,0,1,1,0,40,10.0,338,18:47
176,Kevin Dean\deanke01,31,CHI,D,69,0,11,11,-16,30,1.3,0,0,0,0,9,0,2,75,0.0,1342,19:27
177,Louie DeBrusk\debrulo01,29,PHX,RW,39,0,0,0,-5,79,-0.5,0,0,0,0,0,0,0,12,0.0,188,4:49
178,Xavier Delisle\delisxa01,23,MTL,C,14,3,2,5,-5,6,0.4,2,1,0,0,0,2,0,15,20.0,143,10:14
179,Andy Delmore\delmoan01,24,PHI,D,66,5,9,14,2,16,3.2,3,2,0,0,6,2,1,119,4.2,1164,17:39
180,Pavol Demitra\demitpa01,26,STL,RW,44,20,25,45,27,16,6.5,15,5,0,5,19,6,0,124,16.1,794,18:03
181,Nathan Dempsey\dempsna01,26,TOR,D,25,1,9,10,13,4,2.5,0,1,0,0,6,3,0,31,3.2,397,15:53
182,Matthieu Descoteaux\descoma01,23,MTL,D,5,1,1,2,-2,4,0.3,0,1,0,0,0,1,0,6,16.7,76,15:10
183,Eric Desjardins\desjaer01,31,PHI,D,79,15,33,48,-3,50,8.2,8,6,1,4,19,13,1,187,8.0,2089,26:27
184,Boyd Devereaux\deverbo01,22,DET,LW,55,5,6,11,1,14,0.8,5,0,0,0,6,0,0,66,7.6,557,10:08
185,Gerald Diduck\diducge01,35,DAL,D,14,0,0,0,4,18,0.5,0,0,0,0,0,0,0,8,0.0,150,10:44
186,Rob DiMaio\dimairo01,32,CAR,RW,74,6,18,24,-14,54,1.0,4,0,2,1,16,2,0,99,6.1,1108,14:58
187,Kevin Dineen\dineeke01,37,CBJ,RW,66,8,7,15,2,126,1.4,8,0,0,3,7,0,0,74,10.8,701,10:37
188,Chris Dingman\dingmch01,24,COL,LW,41,1,1,2,-3,108,-0.3,1,0,0,0,1,0,0,33,3.0,264,6:26
189,Tomas Divisek\divisto01,21,PHI,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,23,11:30
190,Shane Doan\doansh01,24,PHX,RW,76,26,37,63,0,89,6.6,19,6,1,6,20,17,0,220,11.8,1485,19:32
191,Jason Doig\doigja01,24,NYR,D,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,20,6:35
192,Bobby Dollas\dollabo01,36,TOT,D,21,1,1,2,4,18,0.8,1,0,0,0,1,0,0,11,9.1,270,12:53
192,Bobby Dollas\dollabo01,36,SJS,D,16,1,1,2,4,14,0.8,1,0,0,0,1,0,0,5,20.0,180,11:15
192,Bobby Dollas\dollabo01,36,PIT,D,5,0,0,0,0,4,0.0,0,0,0,0,0,0,0,6,0.0,91,18:06
193,Hnat Domenichelli\domenhn01,24,ATL,LW,63,15,12,27,-9,18,2.3,11,4,0,1,11,1,0,150,10.0,904,14:21
194,Tie Domi\domiti01,31,TOR,RW,82,13,7,20,2,214,2.2,12,1,0,1,7,0,0,60,21.7,687,8:23
195,Ted Donato\donatte01,31,DAL,LW,65,8,17,25,6,26,2.6,7,1,0,3,17,0,0,71,11.3,664,10:13
196,Shean Donovan\donovsh01,26,ATL,RW,63,12,11,23,-14,47,1.4,8,1,3,1,10,1,0,93,12.9,886,14:03
197,Jim Dowd\dowdji01,32,MIN,C,68,7,22,29,-6,80,1.8,7,0,0,0,14,7,1,92,7.6,1213,17:50
198,Aaron Downey\downeaa01,26,CHI,RW,3,0,0,0,-1,6,-0.1,0,0,0,0,0,0,0,2,0.0,17,5:30
199,Dallas Drake\drakeda01,31,STL,LW,82,12,29,41,18,71,4.3,10,2,0,3,20,9,0,142,8.5,1208,14:44
200,Kris Draper\drapekr01,29,DET,C,75,8,17,25,17,38,2.4,7,0,1,1,15,0,2,123,6.5,1008,13:26
201,Harold Druken\drukeha01,22,VAN,C,55,15,15,30,2,14,3.6,9,6,0,3,12,3,0,82,18.3,660,11:59
202,Stan Drulia\drulist01,33,TBL,RW,34,2,4,6,-11,18,-0.2,1,1,0,0,3,1,0,20,10.0,363,10:41
203,Chris Drury\drurych01,24,COL,LW,71,24,41,65,6,47,7.0,13,11,0,5,22,19,0,204,11.8,1281,18:03
204,Ted Drury\druryte01,29,CBJ,C,1,0,0,0,-3,0,-0.1,0,0,0,0,0,0,0,3,0.0,15,14:44
205,Steve Dubinsky\dubinst01,30,CHI,C,60,6,4,10,-4,33,0.5,5,0,1,0,4,0,0,70,8.6,660,11:00
206,Steve Duchesne\duchest01,35,DET,D,54,6,19,25,9,48,5.0,4,2,0,0,9,10,0,76,7.9,990,18:20
207,J.P. Dumont\dumonjp01,22,BUF,LW,79,23,28,51,1,54,5.8,14,9,0,5,23,5,0,156,14.7,1186,15:01
208,Pascal Dupuis\dupuipa01,21,MIN,LW,4,1,0,1,0,4,0.1,0,1,0,0,0,0,0,8,12.5,62,15:36
209,Radek Dvorak\dvorara01,23,NYR,RW,82,31,36,67,9,20,7.3,24,5,2,3,26,8,2,230,13.5,1564,19:04
210,Gordie Dwyer\dwyergo01,23,TBL,LW,28,0,1,1,-7,96,-0.4,0,0,0,0,1,0,0,12,0.0,162,5:47
211,Karl Dykhuis\dykhuka01,28,MTL,D,67,8,9,17,9,44,4.9,6,2,0,1,7,1,1,66,12.1,1049,15:40
212,Dallas Eakins\eakinda01,33,CGY,D,17,0,1,1,-1,11,0.3,0,0,0,0,1,0,0,4,0.0,209,12:18
213,Mike Eastwood\eastwmi01,33,STL,C,77,6,17,23,4,28,1.4,4,0,2,1,11,1,5,51,11.8,1089,14:08
214,Mark Eaton\eatonma01,23,NSH,D,34,3,8,11,7,14,3.0,2,1,0,1,5,3,0,32,9.4,585,17:13
215,Nils Ekman\ekmanni01,24,TBL,LW,43,9,11,20,-15,40,1.3,6,2,1,1,7,4,0,72,12.5,678,15:45
216,Patrik Elias\eliaspa01,24,NJD,LW,82,40,56,96,45,51,12.5,29,8,3,6,35,21,0,220,18.2,1535,18:44
217,Matt Elich\elichma01,21,TBL,RW,8,0,0,0,-5,0,-0.3,0,0,0,0,0,0,0,7,0.0,72,8:59
218,Mikko Eloranta\elorami01,28,BOS,LW,62,12,11,23,2,38,2.6,10,1,1,2,8,3,0,89,13.5,647,10:26
219,Nelson Emerson\emersne01,33,LAK,RW,78,11,11,22,-13,54,0.8,11,0,0,1,8,2,1,157,7.0,1080,13:51
220,David Emma\emmada01,32,FLA,RW,6,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,6,0.0,44,7:23
221,John Emmons\emmonjo01,26,TOT,C,53,2,2,4,-5,42,-0.4,2,0,0,0,2,0,0,37,5.4,476,8:59
221,John Emmons\emmonjo01,26,OTT,C,41,1,1,2,-5,20,-0.5,1,0,0,0,1,0,0,28,3.6,318,7:46
221,John Emmons\emmonjo01,26,TBL,C,12,1,1,2,0,22,0.1,1,0,0,0,1,0,0,9,11.1,157,13:07
222,Anders Eriksson\eriksan01,26,TOT,D,73,2,24,26,-2,30,4.5,1,1,0,0,11,13,0,99,2.0,1540,21:05
222,Anders Eriksson\eriksan01,26,FLA,D,60,0,21,21,2,28,3.8,0,0,0,0,11,10,0,80,0.0,1262,21:02
222,Anders Eriksson\eriksan01,26,CHI,D,13,2,3,5,-4,2,0.7,1,1,0,0,0,3,0,19,10.5,277,21:20
223,Jeff Farkas\farkaje01,23,TOR,C,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,1,0.0,28,14:10
224,Rico Fata\fatari01,20,CGY,RW,5,0,0,0,-3,6,-0.2,0,0,0,0,0,0,0,6,0.0,47,9:25
225,Sergei Fedorov*\fedorse01,31,DET,C,75,32,37,69,12,40,8.2,16,14,2,7,13,23,1,268,11.9,1581,21:05
226,Todd Fedoruk\fedorto01,21,PHI,RW,53,5,5,10,0,109,0.9,5,0,0,0,5,0,0,28,17.9,373,7:02
227,Ruslan Fedotenko\fedotru01,22,PHI,LW,74,16,20,36,8,72,3.8,13,3,0,4,18,2,0,119,13.4,1082,14:38
228,Andrew Ference\ferenan01,21,PIT,D,36,4,11,15,6,28,2.4,3,1,0,1,8,2,1,47,8.5,679,18:51
229,Brad Ference\ferenbr01,21,FLA,D,14,0,1,1,-10,14,-0.5,0,0,0,0,1,0,0,5,0.0,183,13:03
230,Scott Ferguson\fergusc01,28,EDM,D,20,0,1,1,2,13,0.4,0,0,0,0,1,0,0,8,0.0,218,10:55
231,Ray Ferraro\ferrara01,36,ATL,C,81,29,47,76,-11,91,7.7,18,11,0,2,30,17,0,172,16.9,1483,18:19
232,Jeff Finley\finleje01,33,STL,D,72,2,8,10,7,38,3.3,2,0,0,0,6,1,1,35,5.7,1359,18:53
233,Jiri Fischer\fischji01,20,DET,D,55,1,8,9,3,59,2.3,1,0,0,0,8,0,0,64,1.6,922,16:46
234,Mike Fisher\fishemi01,20,OTT,C,60,7,12,19,-1,46,1.3,7,0,0,3,10,0,2,83,8.4,698,11:38
235,Tom Fitzgerald\fitzgto01,32,NSH,LW,82,9,9,18,-5,71,0.9,7,0,2,2,7,0,2,135,6.7,1227,14:58
236,Rory Fitzpatrick\fitzpro02,26,NSH,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,0,,20,9:47
237,Theoren Fleury\fleurth01,32,NYR,RW,62,30,44,74,0,122,8.0,15,8,7,3,19,23,2,238,12.6,1351,21:47
238,Adam Foote\footead01,29,COL,D,35,3,12,15,6,42,2.9,1,1,1,1,7,5,0,59,5.1,888,25:22
239,Colin Forbes\forbeco01,24,TOT,LW,58,1,5,6,-6,46,-0.3,1,0,0,0,5,0,0,46,2.2,390,6:43
239,Colin Forbes\forbeco01,24,OTT,LW,39,0,1,1,-3,31,-0.5,0,0,0,0,1,0,0,26,0.0,241,6:10
239,Colin Forbes\forbeco01,24,NYR,LW,19,1,4,5,-3,15,0.2,1,0,0,0,4,0,0,20,5.0,149,7:52
240,Peter Forsberg*\forsbpe01,27,COL,C,73,27,62,89,23,54,10.0,13,12,2,5,34,24,4,178,15.2,1518,20:48
241,Ron Francis*\francro01,37,CAR,C,82,15,50,65,-15,32,5.3,8,7,0,4,24,26,0,130,11.5,1661,20:15
242,Kyle Freadrich\freadky01,22,TBL,LW,13,0,1,1,-1,36,0.0,0,0,0,0,1,0,0,3,0.0,46,3:32
243,Jeff Friesen\friesje01,24,TOT,LW,79,14,34,48,5,66,4.1,10,4,0,1,21,11,2,149,9.4,1528,19:21
243,Jeff Friesen\friesje01,24,SJS,LW,64,12,24,36,7,56,3.2,10,2,0,1,15,8,1,120,10.0,1206,18:51
243,Jeff Friesen\friesje01,24,MDA,LW,15,2,10,12,-2,10,0.9,0,2,0,0,6,3,1,29,6.9,322,21:28
244,Marian Gaborik\gaborma01,18,MIN,LW,71,18,18,36,-6,32,3.8,12,6,0,3,12,6,0,179,10.1,1096,15:26
245,Simon Gagne\gagnesi01,20,PHI,LW,69,27,32,59,24,18,7.7,21,6,0,7,21,11,0,191,14.1,1247,18:05
246,Sean Gagnon\gagnose01,27,OTT,D,5,0,0,0,0,13,0.0,0,0,0,0,0,0,0,0,,54,10:45
247,Steve Gainey\gainest01,22,DAL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,2,2:21
248,Maxim Galanov\galanma01,26,TBL,D,25,0,5,5,-5,8,0.6,0,0,0,0,3,2,0,10,0.0,405,16:12
249,Garry Galley\gallega01,37,NYI,D,56,6,14,20,-4,59,3.8,2,4,0,0,6,8,0,94,6.4,1167,20:50
250,Bruce Gardiner\gardibr01,28,CBJ,LW,73,7,15,22,-1,78,1.4,7,0,0,1,15,0,0,60,11.7,1066,14:36
251,Mike Gaul\gaulmi01,27,CBJ,D,2,0,0,0,0,4,0.0,0,0,0,0,0,0,0,3,0.0,27,13:17
252,Denis Gauthier\gauthde01,24,CGY,D,62,2,6,8,3,78,2.7,2,0,0,0,6,0,0,33,6.1,1030,16:37
253,Aaron Gavey\gaveyaa01,26,MIN,C,75,10,14,24,-8,52,1.8,9,1,0,2,10,4,0,100,10.0,1050,14:00
254,Martin Gelinas\gelinma01,30,CAR,LW,79,23,29,52,-4,59,5.6,16,6,1,4,22,6,1,170,13.5,1414,17:54
255,Brent Gilchrist\gilchbr01,33,DET,C,60,1,8,9,-8,41,-0.4,1,0,0,0,8,0,0,75,1.3,701,11:41
256,Hal Gill\gillha01,25,BOS,D,80,1,10,11,-2,71,2.6,1,0,0,0,9,1,0,79,1.3,1467,18:21
257,Todd Gill\gillto01,35,DET,D,68,3,8,11,17,53,4.2,2,0,1,0,5,3,0,66,4.5,1265,18:36
258,Doug Gilmour*\gilmodo01,37,BUF,LW,71,7,31,38,3,70,2.8,3,4,0,0,20,11,0,91,7.7,1281,18:02
259,Jonathan Girard\girarjo01,20,BOS,D,31,3,13,16,2,14,2.6,1,2,0,1,8,5,0,42,7.1,513,16:32
260,Sascha Goc\gocsa01,21,NJD,D,11,0,0,0,7,4,0.6,0,0,0,0,0,0,0,7,0.0,150,13:37
261,Yan Golubovsky\golubya01,24,FLA,D,6,0,2,2,3,2,0.6,0,0,0,0,2,0,0,4,0.0,100,16:38
262,Scott Gomez\gomezsc01,21,NJD,C,76,14,49,63,-1,46,5.4,12,2,0,4,34,15,0,155,9.0,1198,15:46
263,Sergei Gonchar\gonchse01,26,WSH,D,76,19,38,57,12,70,10.6,11,8,0,2,12,26,0,241,7.9,1705,22:26
264,Lee Goren\gorenle01,23,BOS,RW,21,2,0,2,-3,7,0.1,1,1,0,0,0,0,0,9,22.2,92,4:24
265,Tony Granato\granato01,36,SJS,RW,60,4,5,9,-1,65,0.5,3,1,0,1,4,1,0,85,4.7,505,8:25
266,Jean-Luc Grand-Pierre\grandje01,23,CBJ,D,64,1,4,5,-6,73,1.2,1,0,0,0,4,0,0,33,3.0,822,12:51
267,Benoit Gratton\grattbe01,24,CGY,LW,14,1,3,4,0,14,0.3,1,0,0,0,3,0,0,13,7.7,129,9:11
268,Chris Gratton\grattch01,25,BUF,C,82,19,21,40,0,102,4.2,14,5,0,5,12,9,0,156,12.2,1199,14:37
269,Adam Graves\gravead01,32,NYR,LW,82,10,16,26,-16,77,0.5,9,1,0,1,10,6,0,136,7.4,1290,15:44
270,Travis Green\greentr01,30,PHX,C,69,13,15,28,-11,63,1.9,10,3,0,0,12,3,0,113,11.5,1110,16:05
271,Mark Greig\greigma01,31,PHI,RW,7,1,1,2,-2,4,0.1,1,0,0,0,1,0,0,7,14.3,101,14:23
272,Mike Grier\griermi01,26,EDM,RW,74,20,16,36,11,20,3.9,15,2,3,2,13,0,3,124,16.1,1239,16:44
273,Stu Grimson\grimsst01,35,LAK,LW,72,3,2,5,-2,235,-0.1,3,0,0,1,2,0,0,26,11.5,432,6:00
274,Stanislav Gron\gronst01,22,NJD,RW,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,10,9:55
275,Michal Grosek\grosemi01,25,NYR,RW,65,9,11,20,-10,61,1.1,7,2,0,0,9,2,0,84,10.7,721,11:05
276,Bill Guerin\gueribi01,30,TOT,RW,85,40,45,85,7,140,9.9,28,11,1,5,28,17,0,289,13.8,1870,22:00
276,Bill Guerin\gueribi01,30,BOS,RW,64,28,35,63,-4,122,6.7,20,7,1,4,20,15,0,225,12.4,1454,22:43
276,Bill Guerin\gueribi01,30,EDM,RW,21,12,10,22,11,18,3.2,8,4,0,1,8,2,0,64,18.8,416,19:49
277,Steve Guolla\guollst01,27,ATL,LW,63,12,16,28,-6,23,2.2,10,2,0,3,11,2,3,96,12.5,925,14:41
278,Alexei Gusarov\gusaral01,36,TOT,D,51,1,8,9,-3,18,1.4,1,0,0,0,6,2,0,35,2.9,982,19:15
278,Alexei Gusarov\gusaral01,36,NYR,D,26,1,3,4,-2,6,0.5,1,0,0,0,2,1,0,21,4.8,508,19:33
278,Alexei Gusarov\gusaral01,36,STL,D,16,0,4,4,-3,6,0.6,0,0,0,0,3,1,0,10,0.0,339,21:11
278,Alexei Gusarov\gusaral01,36,COL,D,9,0,1,1,2,6,0.4,0,0,0,0,1,0,0,4,0.0,135,14:59
279,Sergey Gusev\gusevse01,25,TBL,D,16,1,0,1,-3,10,0.2,1,0,0,0,0,0,0,13,7.7,214,13:23
280,Sean Haggerty\haggese01,24,NSH,LW,3,0,1,1,1,0,0.1,0,0,0,0,1,0,0,2,0.0,26,8:35
281,Chris Hajt\hajtch01,22,EDM,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,8,7:38
282,Steven Halko\halkost01,26,CAR,D,48,0,1,1,-10,6,0.4,0,0,0,0,1,0,0,24,0.0,645,13:27
283,Kevin Haller\halleke01,30,NYI,D,30,1,5,6,5,56,1.8,1,0,0,0,4,1,0,19,5.3,574,19:07
284,Jeff Halpern\halpeje01,24,WSH,C,80,21,21,42,13,60,4.8,18,2,1,5,15,6,0,110,19.1,1291,16:08
285,Denis Hamel\hamelde01,23,BUF,C,41,8,3,11,-2,22,1.2,6,1,1,3,3,0,0,55,14.5,450,10:58
286,Roman Hamrlik\hamrlro01,26,NYI,D,76,16,30,46,-20,92,7.2,10,5,1,4,15,13,2,232,6.9,1916,25:12
287,Michal Handzus\handzmi01,23,TOT,C,46,14,18,32,16,33,4.1,8,3,3,2,11,6,1,72,19.4,802,17:26
287,Michal Handzus\handzmi01,23,STL,C,36,10,14,24,11,12,2.9,5,3,2,2,9,4,1,58,17.2,648,18:00
287,Michal Handzus\handzmi01,23,PHX,C,10,4,4,8,5,21,1.2,3,0,1,0,2,2,0,14,28.6,154,15:26
288,Casey Hankinson\hankica01,24,CHI,LW,11,0,1,1,-3,9,-0.2,0,0,0,0,1,0,0,15,0.0,107,9:46
289,Scott Hannan\hannasc01,22,SJS,D,75,3,14,17,10,51,4.5,3,0,0,1,11,2,1,96,3.1,1427,19:02
290,Tavis Hansen\hanseta01,25,PHX,RW,7,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,2,0.0,36,5:05
291,David Harlock\harloda01,29,ATL,D,65,0,1,1,-28,62,-1.4,0,0,0,0,1,0,0,26,0.0,1109,17:04
292,Scott Hartnell\hartnsc01,18,NSH,RW,75,2,14,16,-8,48,0.4,2,0,0,0,14,0,0,92,2.2,818,10:54
293,Todd Harvey\harveto01,25,SJS,RW,69,10,11,21,6,72,2.2,9,1,0,2,10,1,0,66,15.2,765,11:05
294,Derian Hatcher\hatchde01,28,DAL,D,80,2,21,23,5,77,5.6,1,1,0,2,13,7,1,97,2.1,2070,25:53
295,Kevin Hatcher\hatchke01,34,CAR,D,57,4,14,18,2,38,4.7,1,3,0,1,4,10,0,98,4.1,1333,23:23
296,Niclas Havelid\havelni01,27,MDA,D,47,4,10,14,-6,34,2.9,2,2,0,1,5,5,0,69,5.8,1027,21:51
297,Martin Havlat\havlama01,19,OTT,RW,73,19,23,42,8,20,4.7,12,7,0,5,16,5,2,133,14.3,1006,13:47
298,Greg Hawgood\hawgogr01,32,VAN,D,16,2,5,7,8,6,1.7,1,1,0,1,2,3,0,16,12.5,239,14:55
299,Dwayne Hay\haydw01,23,CGY,RW,49,1,3,4,-4,16,-0.3,1,0,0,0,3,0,0,39,2.6,412,8:24
300,Jochen Hecht\hechtjo01,23,STL,LW,72,19,25,44,11,48,4.9,8,8,3,1,18,7,0,208,9.1,1291,17:56
301,Bret Hedican\hedicbr01,30,FLA,D,70,5,15,20,-7,72,3.8,1,4,0,1,11,2,2,104,4.8,1527,21:49
302,Shawn Heins\heinssh01,27,SJS,D,38,3,4,7,2,57,1.6,1,2,0,0,1,3,0,45,6.7,389,10:15
303,Steve Heinze\heinzst01,31,TOT,RW,79,27,27,54,-13,46,5.8,12,15,0,4,19,8,0,144,18.8,1439,18:13
303,Steve Heinze\heinzst01,31,CBJ,RW,65,22,20,42,-19,38,4.2,8,14,0,3,15,5,0,125,17.6,1223,18:49
303,Steve Heinze\heinzst01,31,BUF,RW,14,5,7,12,6,8,1.6,4,1,0,1,4,3,0,19,26.3,215,15:24
